part	roman	latin_title
II	LXXII	Quomodo Dominus apparuit Mariæ Magdalenα
II	LXXIII	Quomodo Dominus apparuit tribus Mariis
II	LXXIV	De mendacio custodum
II	LXXV	Quomodo Dominus apparuit Petro, et Joseph ab Arimathia et Jacobo Minori, ac sanctis Patribus in limbō
II	LXXVI	Quomodo Dominus apparuit duobus discipulis in via
II	LXXVII	Quomodo Dominus apparuit Apostolis, Thoma absente
II	LXXVIII	Quomodo Dominus apparuit discipulis inclusis, Thoma præsente
II	LXXIX	Quomodo Dominus apparuit septem discipulis, ad mare Tiberiadis
II	LXXX	Quomodo Dominus apparuit undecim discipulis in Galilæa, ct ctiam quingentis fratribus
II	LXXXI	Epilogus apparitionum Domini post Resurrectionem
II	LXXXII	De Ascensione Domini nostri Jesu Christi
II	LXXXIII	De Scripturæ Evangelicæ, ac fidei fine et utilitate
II	LXXXIV	De Pentecoste
II	LXXXV	De laude divina
II	LXXXVI	De Assumptione, et laude beatæ Virginis
II	LXXXVII	De finali judicio
II	LXXXVIII	De pæna infernali et gloria cælesti
II	LXXXIX	Conclusio libri et signatio ejus
